basin_id,management_decision,management_exclusion_reason,management_review_note
01013500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
03164000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
03213700,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
05056000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
05412500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
05585000,unknown,GAGES-II screening comments document an upstream city and reservoirs on two small tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06043500,unknown,"GAGES-II WR report documents irrigation diversions of about 1,400 acres upstream from station; timing relative to reference classification is not established.","Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06339500,unknown,GAGES-II screening comments document small reservoirs on some tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06353000,unknown,GAGES-II screening comments document small reservoirs on some tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06441500,unknown,GAGES-II screening comments document small reservoirs on some tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06450500,unknown,GAGES-II WR report documents diurnal fluctuations caused by a small powerplant and several irrigation diversions upstream; timing relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06453600,unknown,GAGES-II WR report documents minor irrigation diversions above station; timing relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06464500,unknown,GAGES-II screening comments document small reservoirs on several tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
06468170,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
06775500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07014500,unknown,GAGES-II screening comments document small impoundments on tributaries; timing/status relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
07056000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07067000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07068000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07071500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07148400,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07149000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07151500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07226500,unknown,GAGES-II WR report documents irrigation diversions for a few hundred acres upstream from station; timing relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
07292500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
07301500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
08164000,unknown,"GAGES-II WR report documents small irrigation diversions above station; although it states no known regulation, the timing/status of the diversions relative to the reference classification is not established.","Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
09430500,unknown,GAGES-II WR report documents irrigation diversions for about 500 acres upstream; timing relative to reference classification is not established.,"Management evidence exists, but available metadata does not establish whether the infrastructure represents a post-classification change."
12358500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
12414500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
13337000,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
13338500,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
13340600,keep,,No management change requiring exclusion was identified in the completed Task 04.4 review.
